600010,5
600028,7
600030,8
600031,9
600036,0
600048,3
600104,2
600111,27
600196,16
600276,16
600309,20
600346,7
600436,16
600438,21
600519,18
600570,25
600585,29
600588,25
600690,19
600745,22
600809,18
600837,8
600887,18
600893,11
600900,6
600905,6
601012,21
601066,8
601088,28
601166,0
601211,8
601288,0
601318,8
601398,0
601601,8
601628,8
601633,2
601668,12
601688,8
601728,13
601857,7
601888,17
601899,27
601919,1
601995,8
603259,16
603288,18
603501,22
603799,27
603986,22
